序号,课程号,课程名称,课程类型,开课单位,班号,学分,执行计划编号,起止周,上课时间,教师,备注
1,00100873,图像处理中的数学方法,专业任选,数学科学学院,1,3,BZ2526100100873_12714,1-16,星期三(第7节-第8节)星期五(第5节-第6节)(单),董彬,研本合上 一教304
2,00100880,现代数学物理选讲,专业任选,数学科学学院,1,3,BZ2526100100880_19136,1-16,星期一(第5节-第6节)(单)星期三(第7节-第8节),方博汉,研本合上 三教404
3,00100885,代数几何选讲,专业任选,数学科学学院,1,3,BZ2526100100885_17902,1-16,星期二(第3节-第4节)星期四(第1节-第2节)(双),訚琪峥,研本合上 三教108
4,00100890,代数选讲,专业任选,数学科学学院,1,3,BZ2526100100890_10736,1-16,星期一(第3节-第4节)(单)星期四(第5节-第6节),傅翔,研本合上 二教420
5,00102078,无穷范畴,专业任选,数学科学学院,1,3,BZ2526100102078_19075,1-16,星期二(第5节-第6节)(双)星期五(第7节-第8节),ThiangGuoChuan,研本合上 三教508
6,00102265,数论专题II,专业任选,数学科学学院,1,3,BZ2526100102265_13981,1-16,星期二(第5节-第6节)(单)星期四(第7节-第8节),肖梁,研本合上 二教416
7,00102516,统计模型和计算方法,专业任选,数学科学学院,1,3,BZ2526100102516_14128,1-16,星期一(第7节-第8节)星期三(第3节-第4节)(双),张成,研本合上 三教107
8,00102534,代数几何 I,专业任选,数学科学学院,1,3,BZ2526100102534_16331,1-16,星期二(第5节-第6节)(单)星期四(第3节-第4节),刘济豪,研本合上 二教311
9,00102663,表示论专题II,专业任选,数学科学学院,1,3,BZ2526100102663_15471,1-16,星期三(第5节-第6节)(双)星期五(第1节-第2节),张继平,研本合上 二教315
10,00102886,应用偏微分方程选讲,专业任选,数学科学学院,1,2,BZ2526100102886_17107,1-16,星期二(第5节-第6节)(双)星期四(第3节-第4节),Albert Lee Ai,研本合上 二教315
11,00102892,统计学习,专业任选,数学科学学院,1,3,BZ2526100102892_12288,1-16,星期二(第5节-第6节)星期四(第3节-第4节)(单),席瑞斌,研本合上 二教202
12,00102931,代数几何专题,专业任选,数学科学学院,1,3,BZ2526100102931_12281,1-16,星期一(第5节-第6节)星期四(第3节-第4节)(单),田志宇,研本合上 三教405
13,00103241,现代概率方法,专业任选,数学科学学院,1,3,BZ2526100103241_12039,1-16,星期三(第3节-第4节)星期五(第3节-第4节)(双),李欣意,研本合上 三教205
14,00103335,深度学习与强化学习,专业任选,数学科学学院,1,3,BZ2526100103335_17749,1-16,星期一(第5节-第6节)(单)星期三(第7节-第8节),林伟,研本合上 三教408
15,00104315,科学机器学习,专业任选,数学科学学院,1,3,BZ2526100104315_19764,1-16,星期二(第3节-第4节)(单)星期四(第3节-第4节),黄政宇,研本合上 三教508
16,00104748,代数群及其表示,专业任选,数学科学学院,1,3,BZ2526100104748_17621,1-16,星期三(第7节-第8节)(双)星期五(第3节-第4节),李文威,研本合上 一教204
17,00104761,逻辑专题II,专业任选,数学科学学院,1,3,BZ2526100104761_12391,1-16,星期二(第7节-第8节)星期四(第5节-第6节)(单),Kyle Gannon,研本合上 二教106
18,00110000,黎曼几何引论,专业任选,数学科学学院,1,3,BZ2526100110000_12118,1-16,星期二(第1节-第2节)星期四(第1节-第2节)(双),史宇光,研本合上 三教508
19,00110010,同调论,专业任选,数学科学学院,1,3,BZ2526100110010_19360,1-16,星期三(第3节-第4节)(单)星期五(第5节-第6节),谢羿,研本合上 二教311
20,00110070,经典力学的数学方法,专业任选,数学科学学院,1,3,BZ2526100110070_17205,1-16,星期一(第7节-第8节)星期三(第5节-第6节)(单),徐晓濛,研本合上 一教303
21,00110130,泛函分析（二）,专业任选,数学科学学院,1,3,BZ2526100110130_11253,1-16,星期二(第3节-第4节)星期四(第7节-第8节)(单),章志飞,研本合上 三教308
22,00110400,随机分析,专业任选,数学科学学院,1,3,BZ2526100110400_12367,1-16,星期二(第3节-第4节)(单)星期四(第5节-第6节),刘勇,研本合上 一教308
23,00110600,概率极限定理,专业限选,数学科学学院,1,3,BZ2526100110600_10611,1-16,星期二(第7节-第8节)星期四(第1节-第2节)(双),许惟钧,研本合上 一教208
24,00110940,复分析,专业任选,数学科学学院,1,3,BZ2526100110940_16495,1-16,星期三(第1节-第2节)(单)星期五(第3节-第4节),朱小华,研本合上 二教416
25,00111850,有限元方法 Ⅱ,专业任选,数学科学学院,1,3,BZ2526100111850_16220,1-16,星期二(第3节-第4节)(双)星期四(第7节-第8节),吴朔男,研本合上 二教515
26,00111940,遍历论,专业任选,数学科学学院,1,3,BZ2526100111940_12531,1-16,星期三(第3节-第4节)星期五(第5节-第6节)(双),李智强,研本合上 二教423
27,00112250,随机过程 II,专业任选,数学科学学院,1,3,BZ2526100112250_15142,1-16,星期三(第5节-第6节)(单)星期五(第7节-第8节),许惟钧孙鑫,研本合上 三教301
28,00112400,代数组合论,专业任选,数学科学学院,1,3,BZ2526100112400_15371,1-16,星期一(第3节-第4节)星期三(第1节-第2节),高奕博,研本合上 三教404
29,00112610,同调代数,专业任选,数学科学学院,1,3,BZ2526100112610_12334,1-16,星期一(第5节-第6节)星期三(第7节-第8节)(单),王立中,研本合上 二教519
30,00112630,高等概率论,专业任选,数学科学学院,1,3,BZ2526100112630_19120,1-16,星期二(第5节-第6节)(单)星期四(第3节-第4节),葛颢,研本合上 三教403
31,00112640,高等统计学,专业任选,数学科学学院,1,3,BZ2526100112640_18163,1-16,星期一(第3节-第4节)星期三(第1节-第2节)(双),苗旺,研本合上 三教108
32,00112710,二阶椭圆型方程,专业任选,数学科学学院,1,3,BZ2526100112710_10882,1-16,星期二(第7节-第8节)星期四(第1节-第2节)(单),王超,研本合上 三教506
33,00112711,抽象代数Ⅱ,专业任选,数学科学学院,1,3,BZ2526100112711_17404,1-16,星期二(第1节-第2节)(单)星期五(第7节-第8节),蔡金星,研本合上 三教206
34,00112720,数论1,专业任选,数学科学学院,1,3,BZ2526100112720_15120,1-16,星期一(第7节-第8节)星期三(第5节-第6节)(单),谢俊逸,研本合上 三教408
35,00113180,模形式与数论,专业任选,数学科学学院,1,3,BZ2526100113180_16805,1-16,星期二(第5节-第6节)星期四(第5节-第6节)(双),刘若川,研本合上 三教301
36,00113690,随机模拟方法,专业任选,数学科学学院,1,3,BZ2526100113690_12251,1-16,星期一(第3节-第4节)星期三(第5节-第6节)(单),李铁军,研本合上 二教202
37,00117250,变分学,专业任选,数学科学学院,1,3,BZ2526100117250_14188,1-16,星期二(第5节-第6节)(单)星期四(第5节-第6节),王嵬,研本合上 三教504
38,00130161,拓扑学,专业任选,数学科学学院,1,3,BZ2526100130161_12451,1-16,星期二(第7节-第8节)星期四(第1节-第2节)(单),王家军,
39,00130201,高等数学 (B) (一),专业必修,数学科学学院,1,5,BZ2526100130201_18973,1-16,星期二(第1节-第2节)星期五(第3节-第4节),楚健春,习题课上课时间：每周二10-11，上课教室：二教311、二教402、二教314
40,00130201,高等数学 (B) (一),专业必修,数学科学学院,5,5,BZ2526100130201_57782,1-16,星期二(第1节-第2节)星期五(第3节-第4节),唐林,习题课上课时间：每周二10-11，上课教室：一教208、三教404、三教506
41,00130201,高等数学 (B) (一),专业必修,数学科学学院,2,5,BZ2526100130201_28619,1-16,星期二(第1节-第2节)星期五(第3节-第4节),柳彬,习题课上课时间：每周二10-11，上课教室：一教302、三教306、一教207
42,00130201,高等数学 (B) (一),专业必修,数学科学学院,3,5,BZ2526100130201_31518,1-16,星期二(第1节-第2节)星期五(第3节-第4节),杨建生,习题课上课时间：每周二10-11，上课教室：三教204、一教204、一教308
43,00130201,高等数学 (B) (一),专业必修,数学科学学院,4,5,BZ2526100130201_48999,1-16,星期二(第1节-第2节)星期五(第3节-第4节),刘建明,习题课上课时间：每周二10-11，上课教室：一教304、二教106、二教313
44,00130201,高等数学 (B) (一),专业必修,数学科学学院,6,5,BZ2526100130201_64537,1-16,星期二(第3节-第4节)星期五(第1节-第2节),李东风,习题课上课时间：每周二10-11，上课教室：二教416、三教406、一教203
45,00130201,高等数学 (B) (一),专业必修,数学科学学院,7,5,BZ2526100130201_75779,1-16,星期二(第3节-第4节)星期五(第1节-第2节),杨文元,习题课上课时间：每周二10-11，上课教室：三教103、二教206、三教306
46,00130201,高等数学 (B) (一),专业必修,数学科学学院,8,5,BZ2526100130201_83677,1-16,星期一(第10节-第11节)星期三(第10节-第11节),安冬,习题课上课时间：每周二10-11，上课教室：二教315、三教308、二教317
47,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,1,0,BZ2526100130211_15903,1-16,星期二(第10节-第11节),楚健春,
48,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,2,0,BZ2526100130211_24242,1-16,星期二(第10节-第11节),楚健春,
49,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,3,0,BZ2526100130211_36740,1-16,星期二(第10节-第11节),楚健春,
50,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,4,0,BZ2526100130211_45790,1-16,星期二(第10节-第11节),柳彬,
51,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,11,0,BZ2526100130211111020,1-16,星期二(第10节-第11节),刘建明,
52,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,16,0,BZ2526100130211169338,1-16,星期二(第10节-第11节),李东风,
53,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,17,0,BZ2526100130211178611,1-16,星期二(第10节-第11节),李东风,
54,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,19,0,BZ2526100130211190555,1-16,星期二(第10节-第11节),杨文元,
55,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,20,0,BZ2526100130211206563,1-16,星期二(第10节-第11节),杨文元,
56,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,21,0,BZ2526100130211215231,1-16,星期二(第10节-第11节),杨文元,
57,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,22,0,BZ2526100130211226083,1-16,星期二(第10节-第11节),安冬,
58,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,23,0,BZ2526100130211235819,1-16,星期二(第10节-第11节),安冬,
59,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,24,0,BZ2526100130211249089,1-16,星期二(第10节-第11节),安冬,
60,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,8,0,BZ2526100130211_80346,1-16,星期二(第10节-第11节),杨建生,
61,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,10,0,BZ2526100130211103312,1-16,星期二(第10节-第11节),刘建明,
62,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,12,0,BZ2526100130211124527,1-16,星期二(第10节-第11节),刘建明,
63,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,13,0,BZ2526100130211139361,1-16,星期二(第10节-第11节),唐林,
64,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,14,0,BZ2526100130211149859,1-16,星期二(第10节-第11节),唐林,
65,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,15,0,BZ2526100130211153082,1-16,星期二(第10节-第11节),唐林,
66,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,18,0,BZ2526100130211181398,1-16,星期二(第10节-第11节),李东风,
67,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,5,0,BZ2526100130211_56329,1-16,星期二(第10节-第11节),柳彬,
68,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,6,0,BZ2526100130211_68547,1-16,星期二(第10节-第11节),柳彬,
69,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,7,0,BZ2526100130211_73698,1-16,星期二(第10节-第11节),杨建生,
70,00130211,高等数学 (B) (一)习题课,专业必修,数学科学学院,9,0,BZ2526100130211_94764,1-16,星期二(第10节-第11节),杨建生,
71,00130280,计算方法(B),专业必修,数学科学学院,1,3,BZ2526100130280_15269,1-16,星期二(第3节-第4节)(单)星期四(第3节-第4节),张磊,
72,00130280,计算方法(B),专业任选,信息科学技术学院,2,3,BZ2526100130280_27196,1-16,星期一(第3节-第4节)星期四(第5节-第6节)(单),裴玉茹,
73,00130310,线性代数 (C),专业必修,数学科学学院,1,3,BZ2526100130310_11404,1-16,星期一(第3节-第4节)星期三(第1节-第2节)(单),周健,
74,00130550,数值代数,专业任选,数学科学学院,1,3,BZ2526100130550_11898,1-16,星期一(第7节-第8节)(双)星期三(第3节-第4节),胡俊,
75,00130630,最优化方法,专业任选,数学科学学院,1,3,BZ2526100130630_15680,1-16,星期一(第1节-第2节)星期四(第1节-第2节)(单),文再文,
76,00130730,数理逻辑,专业任选,数学科学学院,1,3,BZ2526100130730_14858,1-16,星期一(第7节-第9节),林作铨,
77,00130990,非寿险精算,专业任选,数学科学学院,1,3,BZ2526100130990_12377,1-16,星期一(第5节-第6节)星期四(第1节-第2节)(双),杨静平,
78,00131100,金融时间序列分析,专业限选,数学科学学院,1,3,BZ2526100131100_19136,1-16,星期一(第1节-第2节)星期四(第5节-第6节)(双),李东风,
79,00131300,概率论,专业必修,数学科学学院,1,3,BZ2526100131300_16220,1-16,星期二(第3节-第4节)(双)星期四(第1节-第2节),任艳霞,
80,00131300,概率论,专业必修,国家发展研究院,3,3,BZ2526100131300_33704,1-16,星期二(第7节-第8节)星期四(第7节-第8节)(单),李秋月,
81,00131300,概率论,专业必修,数学科学学院,2,3,BZ2526100131300_20185,1-16,星期二(第3节-第4节)(双)星期四(第1节-第2节),章复熹,
82,00131300,概率论,专业必修,国家发展研究院,4,3,BZ2526100131300_42296,1-16,星期四(第7节-第8节)(双),李秋月,3班习题课
83,00131421,高等数学C (一),专业必修,数学科学学院,1,4,BZ2526100131421_13577,1-16,星期二(第1节-第2节)星期四(第3节-第4节),蒙在照,
84,00131421,高等数学C (一),专业必修,数学科学学院,2,4,BZ2526100131421_25183,1-16,星期二(第1节-第2节)星期四(第3节-第4节),王正栋,
85,00131421,高等数学C (一),专业必修,数学科学学院,3,4,BZ2526100131421_31783,1-16,星期二(第1节-第2节)星期四(第3节-第4节),关启安,
86,00131421,高等数学C (一),专业必修,数学科学学院,4,4,BZ2526100131421_46512,1-16,星期一(第1节-第2节)星期四(第3节-第4节),,
87,00131421,高等数学C (一),专业必修,数学科学学院,5,4,BZ2526100131421_59090,1-16,星期二(第1节-第2节)星期四(第3节-第4节),汤华中,
88,00131421,高等数学C (一),专业必修,数学科学学院,6,4,BZ2526100131421_62049,1-16,星期二(第1节-第2节)星期四(第3节-第4节),王振富,
89,00131460,线性代数 (B),专业必修,数学科学学院,2,4,BZ2526100131460_24216,1-16,星期一(第3节-第4节)星期三(第1节-第2节),章复熹,习题课时间：双周周一10-11，教室：一教304、二教313、二教421
90,00131460,线性代数 (B),专业必修,数学科学学院,5,4,BZ2526100131460_55761,1-16,星期一(第3节-第4节)星期三(第1节-第2节),李谷川,习题课时间：双周周一10-11，教室：三教208、二教317、一教302
91,00131460,线性代数 (B),专业必修,数学科学学院,1,4,BZ2526100131460_10559,1-16,星期一(第3节-第4节)星期三(第1节-第2节),刘旭峰,习题课时间：双周周一10-11，教室：一教204、三教506、三教408
92,00131460,线性代数 (B),专业必修,数学科学学院,3,4,BZ2526100131460_39207,1-16,星期一(第3节-第4节)星期三(第1节-第2节),蔡金星,习题课时间：双周周一10-11，教室：三教204、一教202、一教308
93,00131460,线性代数 (B),专业必修,数学科学学院,4,4,BZ2526100131460_49639,1-16,星期一(第3节-第4节)星期三(第1节-第2节),向圣权,习题课时间：双周周一10-11，教室：三教404、二教420、三教304
94,00131460,线性代数 (B),专业必修,数学科学学院,6,4,BZ2526100131460_60004,1-16,星期一(第3节-第4节)星期三(第1节-第2节),葛灵睿,习题课时间：双周周一10-11，教室：三教406、一教203、一教303
95,00131470,线性代数 (B)习题,专业必修,数学科学学院,10,0,BZ2526100131470109786,1-16,星期一(第10节-第11节)(双),向圣权,
96,00131470,线性代数 (B)习题,专业必修,数学科学学院,14,0,BZ2526100131470143656,1-16,星期一(第10节-第11节)(双),李谷川,
97,00131470,线性代数 (B)习题,专业必修,数学科学学院,15,0,BZ2526100131470154410,1-16,星期一(第10节-第11节)(双),李谷川,
98,00131470,线性代数 (B)习题,专业必修,数学科学学院,16,0,BZ2526100131470162235,1-16,星期一(第10节-第11节)(双),葛灵睿,
99,00131470,线性代数 (B)习题,专业必修,数学科学学院,1,0,BZ2526100131470_18808,1-16,星期一(第10节-第11节)(双),刘旭峰,
100,00131470,线性代数 (B)习题,专业必修,数学科学学院,4,0,BZ2526100131470_44627,1-16,星期一(第10节-第11节)(双),章复熹,
101,00131470,线性代数 (B)习题,专业必修,数学科学学院,11,0,BZ2526100131470116504,1-16,星期一(第10节-第11节)(双),向圣权,
102,00131470,线性代数 (B)习题,专业必修,数学科学学院,12,0,BZ2526100131470125868,1-16,星期一(第10节-第11节)(双),向圣权,
103,00131470,线性代数 (B)习题,专业必修,数学科学学院,17,0,BZ2526100131470178838,1-16,星期一(第10节-第11节)(双),葛灵睿,
104,00131470,线性代数 (B)习题,专业必修,数学科学学院,2,0,BZ2526100131470_25557,1-16,星期一(第10节-第11节)(双),刘旭峰,
105,00131470,线性代数 (B)习题,专业必修,数学科学学院,3,0,BZ2526100131470_33871,1-16,星期一(第10节-第11节)(双),刘旭峰,
106,00131470,线性代数 (B)习题,专业必修,数学科学学院,5,0,BZ2526100131470_57869,1-16,星期一(第10节-第11节)(双),章复熹,
107,00131470,线性代数 (B)习题,专业必修,数学科学学院,6,0,BZ2526100131470_68390,1-16,星期一(第10节-第11节)(双),章复熹,
108,00131470,线性代数 (B)习题,专业必修,数学科学学院,7,0,BZ2526100131470_75144,1-16,星期一(第10节-第11节)(双),蔡金星,
109,00131470,线性代数 (B)习题,专业必修,数学科学学院,8,0,BZ2526100131470_84553,1-16,星期一(第10节-第11节)(双),蔡金星,
110,00131470,线性代数 (B)习题,专业必修,数学科学学院,9,0,BZ2526100131470_97990,1-16,星期一(第10节-第11节)(双),蔡金星,
111,00131470,线性代数 (B)习题,专业必修,数学科学学院,13,0,BZ2526100131470132132,1-16,星期一(第10节-第11节)(双),李谷川,
112,00131470,线性代数 (B)习题,专业必修,数学科学学院,18,0,BZ2526100131470181606,1-16,星期一(第10节-第11节)(双),葛灵睿,
113,00131810,线性代数 D,专业必修,数学科学学院,1,3,BZ2526100131810_17455,1-16,星期一(第3节-第4节)星期三(第3节-第4节)(单),甘锐,
114,00131960,高等数学（D类基础）,专业必修,数学科学学院,1,4,BZ2526100131960_19272,1-16,星期二(第1节-第2节)星期四(第3节-第4节),宋春伟,习题课时间：双周周二10-11，教室：三教504、三教405
115,00131970,高等数学（D类基础）习题课,专业必修,数学科学学院,1,0,BZ2526100131970_15771,1-16,星期二(第10节-第11节)(双),宋春伟,
116,00131970,高等数学（D类基础）习题课,专业必修,数学科学学院,2,0,BZ2526100131970_25663,1-16,星期二(第10节-第11节)(双),宋春伟,
117,00132301,数学分析（I）,专业必修,数学科学学院,1,5,BZ2526100132301_11952,1-16,星期一(第3节-第4节)星期三(第1节-第2节),王冠香,
118,00132301,数学分析（I）,专业必修,数学科学学院,2,5,BZ2526100132301_47457,1-16,星期一(第3节-第4节)星期三(第1节-第2节),童嘉骏,
119,00132301,数学分析（I）,专业必修,数学科学学院,3,5,BZ2526100132301_78859,1-16,星期一(第3节-第4节)星期三(第1节-第2节),杨家忠,
120,00132304,数学分析 (III),专业必修,数学科学学院,1,4,BZ2526100132304_12292,1-16,星期一(第3节-第4节)星期三(第1节-第2节),甘少波,
121,00132304,数学分析 (III),专业必修,数学科学学院,2,4,BZ2526100132304_20082,1-16,星期一(第3节-第4节)星期三(第1节-第2节),李伟固,
122,00132304,数学分析 (III),专业必修,数学科学学院,3,4,BZ2526100132304_37624,1-16,星期一(第3节-第4节)星期三(第1节-第2节),蒋美跃,
123,00132310,微分几何,专业任选,数学科学学院,1,3,BZ2526100132310_15612,1-16,星期二(第5节-第6节)星期五(第5节-第6节)(单),马翔,
124,00132311,数学分析 (I)习题,专业必修,数学科学学院,10,0,BZ2526100132311104215,1-16,星期一(第10节-第11节),周斌,
125,00132311,数学分析 (I)习题,专业必修,工学院,13,0,BZ2526100132311137405,1-16,星期二(第10节-第11节),梅文俊,
126,00132311,数学分析 (I)习题,专业必修,工学院,14,0,BZ2526100132311143200,1-16,星期二(第10节-第11节),梅文俊,
127,00132311,数学分析 (I)习题,专业必修,数学科学学院,2,0,BZ2526100132311_26661,1-16,星期一(第10节-第11节),王冠香,
128,00132311,数学分析 (I)习题,专业必修,数学科学学院,3,0,BZ2526100132311_37339,1-16,星期一(第10节-第11节),王冠香,
129,00132311,数学分析 (I)习题,专业必修,数学科学学院,4,0,BZ2526100132311_44282,1-16,星期一(第10节-第11节),童嘉骏,
130,00132311,数学分析 (I)习题,专业必修,数学科学学院,8,0,BZ2526100132311_87081,1-16,星期一(第10节-第11节),杨家忠,
131,00132311,数学分析 (I)习题,专业必修,数学科学学院,11,0,BZ2526100132311114275,1-16,星期一(第10节-第11节),周斌,
132,00132311,数学分析 (I)习题,专业必修,工学院,12,0,BZ2526100132311128110,1-16,星期二(第10节-第11节),梅文俊,
133,00132311,数学分析 (I)习题,专业必修,工学院,15,0,BZ2526100132311155612,1-16,星期二(第10节-第11节),王圣凯,
134,00132311,数学分析 (I)习题,专业必修,工学院,16,0,BZ2526100132311163531,1-16,星期二(第10节-第11节),王圣凯,
135,00132311,数学分析 (I)习题,专业必修,工学院,17,0,BZ2526100132311172933,1-16,星期二(第10节-第11节),王圣凯,
136,00132311,数学分析 (I)习题,专业必修,数学科学学院,1,0,BZ2526100132311_12797,1-16,星期一(第10节-第11节),王冠香,
137,00132311,数学分析 (I)习题,专业必修,数学科学学院,5,0,BZ2526100132311_53893,1-16,星期一(第10节-第11节),童嘉骏,
138,00132311,数学分析 (I)习题,专业必修,数学科学学院,6,0,BZ2526100132311_66288,1-16,星期一(第10节-第11节),童嘉骏,
139,00132311,数学分析 (I)习题,专业必修,数学科学学院,7,0,BZ2526100132311_77619,1-16,星期一(第10节-第11节),杨家忠,
140,00132311,数学分析 (I)习题,专业必修,数学科学学院,9,0,BZ2526100132311_92693,1-16,星期一(第10节-第11节),杨家忠,
141,00132313,数学分析 (III)习题,专业必修,数学科学学院,10,0,BZ2526100132313102870,1-16,星期四(第10节-第11节)(双),杨诗武,
142,00132313,数学分析 (III)习题,专业必修,数学科学学院,11,0,BZ2526100132313118158,1-16,星期四(第10节-第11节)(双),杨诗武,
143,00132313,数学分析 (III)习题,专业必修,数学科学学院,1,0,BZ2526100132313_14347,1-16,星期四(第10节-第11节)(双),甘少波,
144,00132313,数学分析 (III)习题,专业必修,数学科学学院,2,0,BZ2526100132313_24410,1-16,星期四(第10节-第11节)(双),甘少波,
145,00132313,数学分析 (III)习题,专业必修,数学科学学院,3,0,BZ2526100132313_38208,1-16,星期四(第10节-第11节)(双),甘少波,
146,00132313,数学分析 (III)习题,专业必修,数学科学学院,4,0,BZ2526100132313_46798,1-16,星期四(第10节-第11节)(双),李伟固,
147,00132313,数学分析 (III)习题,专业必修,数学科学学院,5,0,BZ2526100132313_52583,1-16,星期四(第10节-第11节)(双),李伟固,
148,00132313,数学分析 (III)习题,专业必修,数学科学学院,6,0,BZ2526100132313_62664,1-16,星期四(第10节-第11节)(双),李伟固,
149,00132313,数学分析 (III)习题,专业必修,数学科学学院,8,0,BZ2526100132313_86288,1-16,星期四(第10节-第11节)(双),蒋美跃,
150,00132313,数学分析 (III)习题,专业必修,数学科学学院,9,0,BZ2526100132313_95830,1-16,星期四(第10节-第11节)(双),蒋美跃,
151,00132313,数学分析 (III)习题,专业必修,数学科学学院,7,0,BZ2526100132313_72347,1-16,星期四(第10节-第11节)(双),蒋美跃,
152,00132320,复变函数,专业必修,数学科学学院,1,3,BZ2526100132320_10544,1-16,星期二(第5节-第6节)星期四(第5节-第6节)(单),郭帅,
153,00132321,高等代数（I）,专业必修,数学科学学院,1,5,BZ2526100132321_17604,1-16,星期二(第3节-第4节)星期四(第1节-第2节),王立中,
154,00132321,高等代数（I）,专业必修,数学科学学院,2,5,BZ2526100132321_24713,1-16,星期二(第3节-第4节)星期四(第1节-第2节),王福正,
155,00132321,高等代数（I）,专业必修,数学科学学院,3,5,BZ2526100132321_34308,1-16,星期二(第3节-第4节)星期四(第1节-第2节),周健,
156,00132330,偏微分方程,专业任选,数学科学学院,1,3,BZ2526100132330_15427,1-16,星期四(第5节-第6节)星期五(第3节-第4节)(单),周蜀林,
157,00132331,高等代数（I）习题,专业必修,数学科学学院,2,0,BZ2526100132331_26539,1-16,星期四(第10节-第11节),王立中,
158,00132331,高等代数（I）习题,专业必修,数学科学学院,3,0,BZ2526100132331_38636,1-16,星期四(第10节-第11节),王立中,
159,00132331,高等代数（I）习题,专业必修,数学科学学院,4,0,BZ2526100132331_47049,1-16,星期四(第10节-第11节),王福正,
160,00132331,高等代数（I）习题,专业必修,数学科学学院,8,0,BZ2526100132331_81960,1-16,星期四(第10节-第11节),周健,
161,00132331,高等代数（I）习题,专业必修,数学科学学院,10,0,BZ2526100132331107811,1-16,星期四(第10节-第11节),安金鹏,
162,00132331,高等代数（I）习题,专业必修,数学科学学院,11,0,BZ2526100132331119248,1-16,星期四(第10节-第11节),安金鹏,
163,00132331,高等代数（I）习题,专业必修,数学科学学院,1,0,BZ2526100132331_17785,1-16,星期四(第10节-第11节),王立中,
164,00132331,高等代数（I）习题,专业必修,数学科学学院,5,0,BZ2526100132331_56352,1-16,星期四(第10节-第11节),王福正,
165,00132331,高等代数（I）习题,专业必修,数学科学学院,6,0,BZ2526100132331_62978,1-16,星期四(第10节-第11节),王福正,
166,00132331,高等代数（I）习题,专业必修,数学科学学院,7,0,BZ2526100132331_74026,1-16,星期四(第10节-第11节),周健,
167,00132331,高等代数（I）习题,专业必修,数学科学学院,9,0,BZ2526100132331_92745,1-16,星期四(第10节-第11节),周健,
168,00132341,几何学,专业必修,数学科学学院,1,5,BZ2526100132341_16081,1-16,星期三(第3节-第4节)星期五(第1节-第2节),马翔,
169,00132341,几何学,专业必修,数学科学学院,2,5,BZ2526100132341_23618,1-16,星期三(第3节-第4节)星期五(第1节-第2节),包志强,
170,00132351,几何学习题,专业必修,数学科学学院,5,0,BZ2526100132351_55512,1-16,星期三(第10节-第11节),包志强,
171,00132351,几何学习题,专业必修,数学科学学院,1,0,BZ2526100132351_17455,1-16,星期三(第10节-第11节),马翔,
172,00132351,几何学习题,专业必修,数学科学学院,2,0,BZ2526100132351_23597,1-16,星期三(第10节-第11节),马翔,
173,00132351,几何学习题,专业必修,数学科学学院,3,0,BZ2526100132351_33148,1-16,星期三(第10节-第11节),马翔,
174,00132351,几何学习题,专业必修,数学科学学院,4,0,BZ2526100132351_49218,1-16,星期三(第10节-第11节),包志强,
175,00132351,几何学习题,专业必修,数学科学学院,6,0,BZ2526100132351_63450,1-16,星期三(第10节-第11节),包志强,
176,00132351,几何学习题,专业必修,数学科学学院,7,0,BZ2526100132351_72816,1-16,星期三(第10节-第11节),刘毅,
177,00132351,几何学习题,专业必修,数学科学学院,8,0,BZ2526100132351_85568,1-16,星期三(第10节-第11节),刘毅,
178,00132361,数学分析I(实验班),专业必修,数学科学学院,1,5,BZ2526100132361_19082,1-16,星期一(第3节-第4节)星期三(第1节-第2节),周斌,
179,00132363,数学分析 III (实验班),专业必修,数学科学学院,1,4,BZ2526100132363_10427,1-16,星期一(第3节-第4节)星期三(第1节-第2节),杨诗武,
180,00132370,实变函数,专业任选,数学科学学院,1,3,BZ2526100132370_15129,1-16,星期三(第7节-第8节)星期五(第3节-第4节)(双),张栋,
181,00132370,实变函数,专业任选,数学科学学院,2,3,BZ2526100132370_22220,1-16,星期三(第7节-第8节)星期五(第3节-第4节)(双),刘保平,
